Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal
Tamara Vasilyevna Lazakovich,Soviet Union,URS,Summer,1972,Munich,Gymnastics,Gymnastics Women'S Team All-Around,Gold
Tamara Vasilyevna Lazakovich,Soviet Union,URS,Summer,1972,Munich,Gymnastics,Gymnastics Women'S Floor Exercise,Bronze
Tamara Vasilyevna Lazakovich,Soviet Union,URS,Summer,1972,Munich,Gymnastics,Gymnastics Women'S Balance Beam,Silver
Elisabeta Lazr,Romania,ROU,Summer,1976,Montreal,Rowing,Rowing Women'S Coxed Quadruple Sculls,Bronze
Reka Zsofia Lazr-Szabo,Romania,ROU,Summer,1992,Barcelona,Fencing,"Fencing Women'S Foil, Team",Bronze
Reka Zsofia Lazr-Szabo,Romania,ROU,Summer,1996,Atlanta,Fencing,"Fencing Women'S Foil, Team",Silver
Mylne Lazare,France,FRA,Summer,2012,London,Swimming,Swimming Women'S 4 X 200 Metres Freestyle Relay,Bronze
Milan Lazarevi,Yugoslavia,YUG,Summer,1972,Munich,Handball,Handball Men'S Handball,Gold
Konstantinos Lazaros,Omas Helliniki P. S.,GRE,Summer,1906,Athina,Tug-Of-War,Tug-Of-War Men'S Tug-Of-War,Silver
"Spyridon ""Spyros"" Lazaros",Omas Helliniki P. S.,GRE,Summer,1906,Athina,Tug-Of-War,Tug-Of-War Men'S Tug-Of-War,Silver
Aivars Lazdenieks,Soviet Union,URS,Summer,1976,Montreal,Rowing,Rowing Men'S Quadruple Sculls,Silver
Pedro Luis Lazo Iglesias,Cuba,CUB,Summer,1996,Atlanta,Baseball,Baseball Men'S Baseball,Gold
Pedro Luis Lazo Iglesias,Cuba,CUB,Summer,2000,Sydney,Baseball,Baseball Men'S Baseball,Silver
Pedro Luis Lazo Iglesias,Cuba,CUB,Summer,2004,Athina,Baseball,Baseball Men'S Baseball,Gold
Pedro Luis Lazo Iglesias,Cuba,CUB,Summer,2008,Beijing,Baseball,Baseball Men'S Baseball,Silver
Suzana Lazovi,Montenegro,MNE,Summer,2012,London,Handball,Handball Women'S Handball,Silver
Mariya Mikhaylovna Lazuk,Belarus,BLR,Summer,2000,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women'S Group,Silver
Tomasz Apiski,Poland,POL,Summer,1992,Barcelona,Football,Football Men'S Football,Silver
Maciej Piotr Asicki,Poland,POL,Summer,1992,Barcelona,Rowing,Rowing Men'S Coxed Fours,Bronze
Lech Asko,Poland,POL,Summer,1976,Montreal,Volleyball,Volleyball Men'S Volleyball,Gold
Jan Azarski,Poland,POL,Summer,1924,Paris,Cycling,"Cycling Men'S Team Pursuit, 4,000 Metres",Silver
Marek Bik,Poland,POL,Summer,1988,Seoul,Canoeing,"Canoeing Men'S Canadian Doubles, 500 Metres",Silver
Marek Bik,Poland,POL,Summer,1988,Seoul,Canoeing,"Canoeing Men'S Canadian Doubles, 1,000 Metres",Bronze
Le Chien-Ying,Chinese Taipei,TPE,Summer,2016,Rio De Janeiro,Archery,Archery Women'S Team,Bronze
Le Jingyi,China,CHN,Summer,1992,Barcelona,Swimming,Swimming Women'S 4 X 100 Metres Freestyle Relay,Silver
Le Jingyi,China,CHN,Summer,1996,Atlanta,Swimming,Swimming Women'S 50 Metres Freestyle,Silver
Le Jingyi,China,CHN,Summer,1996,Atlanta,Swimming,Swimming Women'S 100 Metres Freestyle,Gold
Le Jingyi,China,CHN,Summer,1996,Atlanta,Swimming,Swimming Women'S 4 X 100 Metres Freestyle Relay,Silver
Le Maosheng,China,CHN,Summer,2004,Athina,Weightlifting,Weightlifting Men'S Featherweight,Silver
Gabriel Charles Jean Le Bret,Crabe Ii,FRA,Summer,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Silver
Gabriel Charles Jean Le Bret,Crabe Ii,FRA,Summer,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Bronze
Chad Guy Bertrand Le Clos,South Africa,RSA,Summer,2012,London,Swimming,Swimming Men'S 100 Metres Butterfly,Silver
Chad Guy Bertrand Le Clos,South Africa,RSA,Summer,2012,London,Swimming,Swimming Men'S 200 Metres Butterfly,Gold
Chad Guy Bertrand Le Clos,South Africa,RSA,Summer,2016,Rio De Janeiro,Swimming,Swimming Men'S 200 Metres Freestyle,Silver
Chad Guy Bertrand Le Clos,South Africa,RSA,Summer,2016,Rio De Janeiro,Swimming,Swimming Men'S 100 Metres Butterfly,Silver
Pierre Le Coq,France,FRA,Summer,2016,Rio De Janeiro,Sailing,Sailing Men'S Windsurfer,Bronze
Latitia Le Corguill,France,FRA,Summer,2008,Beijing,Cycling,Cycling Women'S Bmx,Silver
Jean-Yves Le Droff,France,FRA,Summer,1988,Seoul,Sailing,Sailing Mixed Multihull,Gold
"Louis Jean ""Jack"" Le Goff",France,FRA,Summer,1960,Roma,Equestrianism,"Equestrianism Men'S Three-Day Event, Team",Bronze
Ren Jean Le Grevs,France,FRA,Summer,1932,Los Angeles,Cycling,"Cycling Men'S Team Pursuit, 4,000 Metres",Silver
Philippe Le Hardy De Beaulieu,Belgium,BEL,Summer,1906,Athina,Fencing,"Fencing Men'S Epee, Team",Bronze
Philippe Le Hardy De Beaulieu,Belgium,BEL,Summer,1912,Stockholm,Fencing,"Fencing Men'S Epee, Individual",Bronze
Philippe Le Hardy De Beaulieu,Belgium,BEL,Summer,1920,Antwerpen,Fencing,"Fencing Men'S Epee, Team",Silver
Gerard Willem Le Heux,Netherlands,NED,Summer,1928,Amsterdam,Equestrianism,"Equestrianism Men'S Dressage, Team",Bronze
Jacques Le Lavasseur,Olle,FRA,Summer,1900,Paris,Sailing,Sailing Mixed 2-3 Ton,Gold
Jacques Le Lavasseur,Olle,FRA,Summer,1900,Paris,Sailing,Sailing Mixed 2-3 Ton,Gold
Roger Jean Le Nizerhy,France,FRA,Summer,1936,Berlin,Cycling,"Cycling Men'S Team Pursuit, 4,000 Metres",Gold
Erwann Lucien Douard Le Pchoux,France,FRA,Summer,2016,Rio De Janeiro,Fencing,"Fencing Men'S Foil, Team",Silver
Milie Le Pennec,France,FRA,Summer,2004,Athina,Gymnastics,Gymnastics Women'S Uneven Bars,Gold
"Alexandra Johanna ""Sandra"" Le Poole",Netherlands,NED,Summer,1984,Los Angeles,Hockey,Hockey Women'S Hockey,Gold
Jhan Raymond Le Roy,France,FRA,Summer,1960,Roma,Equestrianism,"Equestrianism Men'S Three-Day Event, Team",Bronze
Charles Symonds Leaf,Lalage,GBR,Summer,1936,Berlin,Sailing,Sailing Mixed 6 Metres,Gold
Henry Meredith Leaf,Great Britain,GBR,Summer,1908,London,Racquets,Racquets Men'S Singles,Silver
Henry Meredith Leaf,Great Britain,GBR,Summer,1908,London,Racquets,Racquets Men'S Doubles,Bronze
"Cornelius ""Con"" Leahy",Great Britain,GBR,Summer,1906,Athina,Athletics,Athletics Men'S High Jump,Gold
"Cornelius ""Con"" Leahy",Great Britain,GBR,Summer,1906,Athina,Athletics,Athletics Men'S Triple Jump,Silver
"Cornelius ""Con"" Leahy",Great Britain,GBR,Summer,1908,London,Athletics,Athletics Men'S High Jump,Silver
"Patrick Joseph ""Pat"" Leahy",Great Britain,GBR,Summer,1900,Paris,Athletics,Athletics Men'S High Jump,Silver
"Patrick Joseph ""Pat"" Leahy",Great Britain,GBR,Summer,1900,Paris,Athletics,Athletics Men'S Long Jump,Bronze
Paulo Vicente Pereira D'Ea E Albuquerque Leal,Portugal,POR,Summer,1928,Amsterdam,Fencing,"Fencing Men'S Epee, Team",Bronze
Robin John Leamy,United States,USA,Summer,1984,Los Angeles,Swimming,Swimming Men'S 4 X 100 Metres Freestyle Relay,Gold
David Francis Lean,Australia,AUS,Summer,1956,Melbourne,Athletics,Athletics Men'S 4 X 400 Metres Relay,Silver
Oscar Brje Leander,Sweden,SWE,Summer,1948,London,Football,Football Men'S Football,Gold
"Matthew Fillip ""Matt"" Leanderson",United States,USA,Summer,1952,Helsinki,Rowing,Rowing Men'S Coxed Fours,Bronze
"Benjamin ""Ben"" Lear, Jr.",United States,USA,Summer,1912,Stockholm,Equestrianism,"Equestrianism Men'S Three-Day Event, Team",Bronze
John Scott Leary,United States,USA,Summer,1904,St. Louis,Swimming,Swimming Men'S 50 Yard Freestyle,Silver
John Scott Leary,United States,USA,Summer,1904,St. Louis,Swimming,Swimming Men'S 100 Yard Freestyle,Bronze
Lillie Mae Leatherwood (-King),United States,USA,Summer,1984,Los Angeles,Athletics,Athletics Women'S 4 X 400 Metres Relay,Gold
Lillie Mae Leatherwood (-King),United States,USA,Summer,1988,Seoul,Athletics,Athletics Women'S 4 X 400 Metres Relay,Silver
"Robert Grandison ""Bob"" Leavitt",United States,USA,Summer,1906,Athina,Athletics,Athletics Men'S 110 Metres Hurdles,Gold
Alain Jean Jacques Lebas,France,FRA,Summer,1980,Moskva,Canoeing,"Canoeing Men'S Kayak Singles, 1,000 Metres",Silver
"Nataliya Vasilyevna Lebedeva (-Suprun, -Monastyrskaya)",Soviet Union,URS,Summer,1976,Montreal,Athletics,Athletics Women'S 100 Metres Hurdles,Bronze
Tatyana Romanovna Lebedeva,Russia,RUS,Summer,2000,Sydney,Athletics,Athletics Women'S Triple Jump,Silver
Tatyana Romanovna Lebedeva,Russia,RUS,Summer,2004,Athina,Athletics,Athletics Women'S Long Jump,Gold
Tatyana Romanovna Lebedeva,Russia,RUS,Summer,2004,Athina,Athletics,Athletics Women'S Triple Jump,Bronze
Tatyana Romanovna Lebedeva,Russia,RUS,Summer,2008,Beijing,Athletics,Athletics Women'S Long Jump,Silver
Tatyana Romanovna Lebedeva,Russia,RUS,Summer,2008,Beijing,Athletics,Athletics Women'S Triple Jump,Silver
Guillaume Leblanc,Canada,CAN,Summer,1992,Barcelona,Athletics,Athletics Men'S 20 Kilometres Walk,Silver
Karina Chenelle Leblanc,Canada,CAN,Summer,2012,London,Football,Football Women'S Football,Bronze
Marcel Leboutte,Univ. Of Brussels,BEL,Summer,1900,Paris,Football,Football Men'S Football,Bronze
Cline Lebrun,France,FRA,Summer,2000,Sydney,Judo,Judo Women'S Half-Heavyweight,Silver
Jacques Baptiste Lebrun,France,FRA,Summer,1932,Los Angeles,Sailing,Sailing Mixed One Person Dinghy,Gold
Aleksandr Borisovich Lebzyak,Russia,RUS,Summer,2000,Sydney,Boxing,Boxing Men'S Light-Heavyweight,Gold
Jean-Claude Lecante,France,FRA,Summer,1956,Melbourne,Cycling,"Cycling Men'S Team Pursuit, 4,000 Metres",Silver
Vesela Nikolaeva Lecheva (-Veleva),Bulgaria,BUL,Summer,1988,Seoul,Shooting,"Shooting Women'S Small-Bore Rifle, Three Positions, 50 Metres",Silver
Vesela Nikolaeva Lecheva (-Veleva),Bulgaria,BUL,Summer,1992,Barcelona,Shooting,"Shooting Women'S Air Rifle, 10 Metres",Silver
Robert Lechner,West Germany,FRG,Summer,1988,Seoul,Cycling,"Cycling Men'S 1,000 Metres Time Trial",Bronze
Barbara Lechner-Engleder,Germany,GER,Summer,2016,Rio De Janeiro,Shooting,"Shooting Women'S Small-Bore Rifle, Three Positions, 50 Metres",Gold
John Macmillan Stirling Lecky,Canada,CAN,Summer,1960,Roma,Rowing,Rowing Men'S Coxed Eights,Silver
Georges Marcel Lecointe,France,FRA,Summer,1924,Paris,Rowing,Rowing Men'S Coxed Fours,Silver
Camille Lecointre,France,FRA,Summer,2016,Rio De Janeiro,Sailing,Sailing Women'S Two Person Dinghy,Bronze
"Jeremiah Alfred ""Al"" Leconey",United States,USA,Summer,1924,Paris,Athletics,Athletics Men'S 4 X 100 Metres Relay,Gold
Maurice Marie Lecoq,France,FRA,Summer,1900,Paris,Shooting,"Shooting Men'S Free Pistol, 50 Metres, Team",Silver
Maurice Marie Lecoq,France,FRA,Summer,1900,Paris,Shooting,"Shooting Men'S Free Rifle, Three Positions, 300 Metres, Team",Bronze
Maurice Marie Lecoq,France,FRA,Summer,1906,Athina,Shooting,"Shooting Men'S Free Pistol, 25 Metres",Gold
Maurice Marie Lecoq,France,FRA,Summer,1906,Athina,Shooting,Shooting Men'S Dueling Pistol Au Vise 20 Metres,Bronze
Maurice Marie Lecoq,France,FRA,Summer,1906,Athina,Shooting,"Shooting Men'S Free Rifle, Three Positions, 300 Metres, Team",Bronze
Maurice Marie Lecoq,France,FRA,Summer,1908,London,Shooting,"Shooting Men'S Free Rifle, Three Positions, 300 Metres, Team",Bronze
"Matthew Hawks ""Matt"" Lecroy",United States,USA,Summer,1996,Atlanta,Baseball,Baseball Men'S Baseball,Bronze
Lon Alfred Lcuyer,France,FRA,Summer,1908,London,Shooting,"Shooting Men'S Small-Bore Rifle, 50 And 100 Yards, Team",Bronze
Brian Richard Ledbetter,United States,USA,Summer,1992,Barcelona,Sailing,Sailing Men'S One Person Dinghy,Silver
"Kathleen Genevieve ""Katie"" Ledecky",United States,USA,Summer,2012,London,Swimming,Swimming Women'S 800 Metres Freestyle,Gold
"Kathleen Genevieve ""Katie"" Ledecky",United States,USA,Summer,2016,Rio De Janeiro,Swimming,Swimming Women'S 200 Metres Freestyle,Gold
"Kathleen Genevieve ""Katie"" Ledecky",United States,USA,Summer,2016,Rio De Janeiro,Swimming,Swimming Women'S 400 Metres Freestyle,Gold
"Kathleen Genevieve ""Katie"" Ledecky",United States,USA,Summer,2016,Rio De Janeiro,Swimming,Swimming Women'S 800 Metres Freestyle,Gold
"Kathleen Genevieve ""Katie"" Ledecky",United States,USA,Summer,2016,Rio De Janeiro,Swimming,Swimming Women'S 4 X 100 Metres Freestyle Relay,Silver
"Kathleen Genevieve ""Katie"" Ledecky",United States,USA,Summer,2016,Rio De Janeiro,Swimming,Swimming Women'S 4 X 200 Metres Freestyle Relay,Gold
Alexandra Ledermann,France,FRA,Summer,1996,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
Pavel Serafimovich Lednyov,Soviet Union,URS,Summer,1968,Mexico City,Modern Pentathlon,Modern Pentathlon Men'S Individual,Bronze
Pavel Serafimovich Lednyov,Soviet Union,URS,Summer,1968,Mexico City,Modern Pentathlon,Modern Pentathlon Men'S Team,Silver
Pavel Serafimovich Lednyov,Soviet Union,URS,Summer,1972,Munich,Modern Pentathlon,Modern Pentathlon Men'S Individual,Bronze
Pavel Serafimovich Lednyov,Soviet Union,URS,Summer,1972,Munich,Modern Pentathlon,Modern Pentathlon Men'S Team,Gold
Pavel Serafimovich Lednyov,Soviet Union,URS,Summer,1976,Montreal,Modern Pentathlon,Modern Pentathlon Men'S Individual,Silver
Pavel Serafimovich Lednyov,Soviet Union,URS,Summer,1980,Moskva,Modern Pentathlon,Modern Pentathlon Men'S Individual,Bronze
Pavel Serafimovich Lednyov,Soviet Union,URS,Summer,1980,Moskva,Modern Pentathlon,Modern Pentathlon Men'S Team,Gold
Tatyana Mikhaylovna Ledovskaya,Soviet Union,URS,Summer,1988,Seoul,Athletics,Athletics Women'S 400 Metres Hurdles,Silver
Tatyana Mikhaylovna Ledovskaya,Soviet Union,URS,Summer,1988,Seoul,Athletics,Athletics Women'S 4 X 400 Metres Relay,Gold
Mark Leduc,Canada,CAN,Summer,1992,Barcelona,Boxing,Boxing Men'S Light-Welterweight,Silver
Andr Leducq,France,FRA,Summer,1924,Paris,Cycling,"Cycling Men'S Road Race, Team",Gold
Jzefa Ledwig (-Bben),Poland,POL,Summer,1964,Tokyo,Volleyball,Volleyball Women'S Volleyball,Bronze
Jzefa Ledwig (-Bben),Poland,POL,Summer,1968,Mexico City,Volleyball,Volleyball Women'S Volleyball,Bronze
Lee Bae-Yeong,South Korea,KOR,Summer,2004,Athina,Weightlifting,Weightlifting Men'S Lightweight,Silver
Lee Beom-Yeong,South Korea,KOR,Summer,2012,London,Football,Football Men'S Football,Bronze
Lee Bo-Na,South Korea,KOR,Summer,2004,Athina,Shooting,Shooting Women'S Trap,Bronze
Lee Bo-Na,South Korea,KOR,Summer,2004,Athina,Shooting,Shooting Women'S Double Trap,Silver
Lee Bong-Ju,South Korea,KOR,Summer,1996,Atlanta,Athletics,Athletics Men'S Marathon,Silver
Lee Byeong-Gyu,South Korea,KOR,Summer,2000,Sydney,Baseball,Baseball Men'S Baseball,Bronze
Lee Chang-Hwan,South Korea,KOR,Summer,2008,Beijing,Archery,Archery Men'S Team,Gold
Lee Cheol-Seung,South Korea,KOR,Summer,1992,Barcelona,Table Tennis,Table Tennis Men'S Doubles,Bronze
Lee Cheol-Seung,South Korea,KOR,Summer,1996,Atlanta,Table Tennis,Table Tennis Men'S Doubles,Bronze
Lee Chong Wei,Malaysia,MAS,Summer,2008,Beijing,Badminton,Badminton Men'S Singles,Silver
Lee Chong Wei,Malaysia,MAS,Summer,2012,London,Badminton,Badminton Men'S Singles,Silver
Lee Chong Wei,Malaysia,MAS,Summer,2016,Rio De Janeiro,Badminton,Badminton Men'S Singles,Silver
Lee Dae-Ho,South Korea,KOR,Summer,2008,Beijing,Baseball,Baseball Men'S Baseball,Gold
Lee Dae-Hun,South Korea,KOR,Summer,2012,London,Taekwondo,Taekwondo Men'S Flyweight,Silver
Lee Dae-Hun,South Korea,KOR,Summer,2016,Rio De Janeiro,Taekwondo,Taekwondo Men'S Featherweight,Bronze
David Cameron Lee,United States,USA,Summer,2008,Beijing,Volleyball,Volleyball Men'S Volleyball,Gold
David Cameron Lee,United States,USA,Summer,2016,Rio De Janeiro,Volleyball,Volleyball Men'S Volleyball,Bronze
Lee Dong-Su,South Korea,KOR,Summer,2000,Sydney,Badminton,Badminton Men'S Doubles,Silver
Lee Dong-Su,South Korea,KOR,Summer,2004,Athina,Badminton,Badminton Men'S Doubles,Silver
Lee Eun-Cheol,South Korea,KOR,Summer,1992,Barcelona,Shooting,"Shooting Men'S Small-Bore Rifle, Prone, 50 Metres",Gold
Lee Eun-Gyeong,South Korea,KOR,Summer,1992,Barcelona,Archery,Archery Women'S Team,Gold
Lee Eun-Gyeong,South Korea,KOR,Summer,1996,Atlanta,Hockey,Hockey Women'S Hockey,Silver
Lee Eun-Sil,South Korea,KOR,Summer,2004,Athina,Table Tennis,Table Tennis Women'S Doubles,Silver
Lee Eun-Yeong,South Korea,KOR,Summer,1996,Atlanta,Hockey,Hockey Women'S Hockey,Silver
Lee Gi-Sun,South Korea,KOR,Summer,1988,Seoul,Handball,Handball Women'S Handball,Gold
Lee Gong-Ju,South Korea,KOR,Summer,2004,Athina,Handball,Handball Women'S Handball,Silver
Lee Gyeong-Geun,South Korea,KOR,Summer,1988,Seoul,Judo,Judo Men'S Half-Lightweight,Gold
Lee Gyeong-Won,South Korea,KOR,Summer,2004,Athina,Badminton,Badminton Women'S Doubles,Bronze
Lee Gyeong-Won,South Korea,KOR,Summer,2008,Beijing,Badminton,Badminton Women'S Doubles,Silver
Lee Han-Seop,South Korea,KOR,Summer,1988,Seoul,Archery,Archery Men'S Team,Gold
Lee Ho-Yeon,South Korea,KOR,Summer,1992,Barcelona,Handball,Handball Women'S Handball,Gold
Lee Hyeong-Geun,South Korea,KOR,Summer,1988,Seoul,Weightlifting,Weightlifting Men'S Light-Heavyweight,Bronze
Lee Hyeong-Suk,South Korea,KOR,Summer,1984,Los Angeles,Basketball,Basketball Women'S Basketball,Silver
Lee Hyo-Jeong,South Korea,KOR,Summer,2008,Beijing,Badminton,Badminton Mixed Doubles,Gold
Lee Hyo-Jeong,South Korea,KOR,Summer,2008,Beijing,Badminton,Badminton Women'S Doubles,Silver
Lee Jae-Hyeok,South Korea,KOR,Summer,1988,Seoul,Boxing,Boxing Men'S Featherweight,Bronze
Lee Jae-Jin,South Korea,KOR,Summer,2008,Beijing,Badminton,Badminton Men'S Doubles,Bronze
Lee Jae-Seok,South Korea,KOR,Summer,1988,Seoul,Wrestling,"Wrestling Men'S Flyweight, Greco-Roman",Bronze
Lee Jeong-Geun,South Korea,KOR,Summer,1984,Los Angeles,Wrestling,"Wrestling Men'S Featherweight, Freestyle",Bronze
Lee Ji-Yeong,South Korea,KOR,Summer,1996,Atlanta,Hockey,Hockey Women'S Hockey,Silver
Lee Jin-Yeong,South Korea,KOR,Summer,2008,Beijing,Baseball,Baseball Men'S Baseball,Gold
Lee Jong-Uk,South Korea,KOR,Summer,2008,Beijing,Baseball,Baseball Men'S Baseball,Gold
Lee Ju-Hyeong,South Korea,KOR,Summer,2000,Sydney,Gymnastics,Gymnastics Men'S Parallel Bars,Silver
Lee Ju-Hyeong,South Korea,KOR,Summer,2000,Sydney,Gymnastics,Gymnastics Men'S Horizontal Bar,Bronze
Lee Lai Shan,Hong Kong,HKG,Summer,1996,Atlanta,Sailing,Sailing Women'S Windsurfer,Gold
Lee Mi-Ja,South Korea,KOR,Summer,1984,Los Angeles,Basketball,Basketball Women'S Basketball,Silver
Lee Mi-Yeong,South Korea,KOR,Summer,1992,Barcelona,Handball,Handball Women'S Handball,Gold
Lee Min-Hui,South Korea,KOR,Summer,2008,Beijing,Handball,Handball Women'S Handball,Bronze
Norvel Lafollette Ray Lee,United States,USA,Summer,1952,Helsinki,Boxing,Boxing Men'S Light-Heavyweight,Gold
"Samuel ""Sammy"" Lee",United States,USA,Summer,1948,London,Diving,Diving Men'S Springboard,Bronze
"Samuel ""Sammy"" Lee",United States,USA,Summer,1948,London,Diving,Diving Men'S Platform,Gold
"Samuel ""Sammy"" Lee",United States,USA,Summer,1952,Helsinki,Diving,Diving Men'S Platform,Gold
Lee Sang-Eun,South Korea,KOR,Summer,1996,Atlanta,Handball,Handball Women'S Handball,Silver
Lee Sang-Eun,South Korea,KOR,Summer,2004,Athina,Handball,Handball Women'S Handball,Silver
Lee Sang-Gi,South Korea,KOR,Summer,2000,Sydney,Fencing,"Fencing Men'S Epee, Individual",Bronze
Lee Sang-Hyo,South Korea,KOR,Summer,1988,Seoul,Handball,Handball Men'S Handball,Silver
Lee Seon-Hui,South Korea,KOR,Summer,2000,Sydney,Taekwondo,Taekwondo Women'S Welterweight,Gold
Lee Seong-Jin,South Korea,KOR,Summer,2004,Athina,Archery,Archery Women'S Individual,Silver
Lee Seong-Jin,South Korea,KOR,Summer,2004,Athina,Archery,Archery Women'S Team,Gold
Lee Seong-Jin,South Korea,KOR,Summer,2012,London,Archery,Archery Women'S Team,Gold
Lee Seung-Bae,South Korea,KOR,Summer,1992,Barcelona,Boxing,Boxing Men'S Middleweight,Bronze
Lee Seung-Bae,South Korea,KOR,Summer,1996,Atlanta,Boxing,Boxing Men'S Light-Heavyweight,Silver
Lee Seung-Ho,South Korea,KOR,Summer,2000,Sydney,Baseball,Baseball Men'S Baseball,Bronze
Lee Seung-Yeop,South Korea,KOR,Summer,2000,Sydney,Baseball,Baseball Men'S Baseball,Bronze
Lee Seung-Yeop,South Korea,KOR,Summer,2008,Beijing,Baseball,Baseball Men'S Baseball,Gold
Lee Seung-Yun,South Korea,KOR,Summer,2016,Rio De Janeiro,Archery,Archery Men'S Team,Gold
Lee Sun-Bok,South Korea,KOR,Summer,1976,Montreal,Volleyball,Volleyball Women'S Volleyball,Bronze
Lee Sun-I,South Korea,KOR,Summer,1984,Los Angeles,Handball,Handball Women'S Handball,Silver
Lee Sun-Ok,South Korea,KOR,Summer,1976,Montreal,Volleyball,Volleyball Women'S Volleyball,Bronze
Susan Lee (-Brosnan),Australia,AUS,Summer,1984,Los Angeles,Rowing,Rowing Women'S Coxed Fours,Bronze
Lee Taek-Geun,South Korea,KOR,Summer,2008,Beijing,Baseball,Baseball Men'S Baseball,Gold
Travis Reynolds Lee,United States,USA,Summer,1996,Atlanta,Baseball,Baseball Men'S Baseball,Bronze
Virginia Lee,Australia,AUS,Summer,1996,Atlanta,Rowing,Rowing Women'S Lightweight Double Sculls,Bronze
Lee Wai Sze,Hong Kong,HKG,Summer,2012,London,Cycling,Cycling Women'S Keirin,Bronze
"Willis Augustus Lee, Jr.",United States,USA,Summer,1920,Antwerpen,Shooting,"Shooting Men'S Free Rifle, Three Positions, 300 Metres, Team",Gold
"Willis Augustus Lee, Jr.",United States,USA,Summer,1920,Antwerpen,Shooting,"Shooting Men'S Military Rifle, Prone, 300 Metres, Team",Gold
"Willis Augustus Lee, Jr.",United States,USA,Summer,1920,Antwerpen,Shooting,"Shooting Men'S Military Rifle, Prone, 600 Metres, Team",Gold
"Willis Augustus Lee, Jr.",United States,USA,Summer,1920,Antwerpen,Shooting,"Shooting Men'S Military Rifle, Standing, 300 Metres, Team",Silver
"Willis Augustus Lee, Jr.",United States,USA,Summer,1920,Antwerpen,Shooting,"Shooting Men'S Military Rifle, 300 Metres And 600 Metres, Prone, Team",Gold
"Willis Augustus Lee, Jr.",United States,USA,Summer,1920,Antwerpen,Shooting,"Shooting Men'S Small Bore-Rifle, Standing, 50 Metres, Team",Gold
"Willis Augustus Lee, Jr.",United States,USA,Summer,1920,Antwerpen,Shooting,"Shooting Men'S Running Target, Single Shot, Team",Bronze
Lee Won-Hui,South Korea,KOR,Summer,2004,Athina,Judo,Judo Men'S Lightweight,Gold
